title,poster,director,writers,cast,genre,runtime,description
Greyhound (2020) ,"https://m.media-amazon.com/images/M/MV5BMmNmN2JhNGQtZjkxYi00ZWE0LWFjYTctYjE2NjI2NWYwNjAxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Aaron Schneider'],"['C.S. Forester', 'Tom Hanks']","[['Tom Hanks', 'https://m.media-amazon.com/images/M/MV5BMTQ2MjMwNDA3Nl5BMl5BanBnXkFtZTcwMTA2NDY3NQ@@._V1_UY317_CR2,0,214,317_AL_.jpg'], ['Elisabeth Shue', 'https://m.media-amazon.com/images/M/MV5BOWFkZTIxN2ItODhlOC00MDMwLWEyYTEtZWMxNWQ2MzU3ZjZmXkEyXkFqcGdeQXVyNjk1MjYyNTA@._V1_UY317_CR51,0,214,317_AL_.jpg'], ['Stephen Graham', 'https://m.media-amazon.com/images/M/MV5BNDA0OGU1OWUtZDNhNC00YzdkLTk5ZWYtY2RjNTM0NjBmYmYwXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Drama', 'History', 'War']",---,"Early in World War II, an inexperienced U.S. Navy captain must lead an Allied convoy being stalked by Nazi U-boat wolfpacks."
Emma. (2020) ,"https://m.media-amazon.com/images/M/MV5BOGRiODEzM2QtOTUyYi00MWRlLTg4MzMtZGI0YmUzNWUyMjQ0XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Autumn de Wilde'],"['Eleanor Catton', 'Jane Austen']","[['Anya Taylor-Joy', 'https://m.media-amazon.com/images/M/MV5BYWUxMzhlM2QtNDM5MS00OThlLTlhZDEtMDhlNTliZDIzZGQ1XkEyXkFqcGdeQXVyNzcyNzc0NzE@._V1_UY317_CR19,0,214,317_AL_.jpg'], ['Johnny Flynn', 'https://m.media-amazon.com/images/M/MV5BMDE5OTQ0ZmQtZDgzYy00MGU1LTgyNjQtYWFiODg0YjQyODdiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY317_CR5,0,214,317_AL_.jpg'], ['Bill Nighy', 'https://m.media-amazon.com/images/M/MV5BMjI0NzYwMDAxM15BMl5BanBnXkFtZTgwMzg2ODg2MjE@._V1_UY317_CR17,0,214,317_AL_.jpg']]","['Comedy', 'Drama']",2h 4min,"In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends."
All the Bright Places (2020) ,"https://m.media-amazon.com/images/M/MV5BY2FkY2E1OTgtYmFhYi00NzczLThjYjktNDljN2ZiZGY4OGIzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Brett Haley'],"['Liz Hannah', 'Jennifer Niven']","[['Elle Fanning', 'https://m.media-amazon.com/images/M/MV5BN2I3N2UwMzQtNjhlYy00NmEwLTgwMDgtNmY5MzNlOGE4NDQxXkEyXkFqcGdeQXVyNDIzOTc1MDY@._V1_UY317_CR131,0,214,317_AL_.jpg'], ['Justice Smith', 'https://m.media-amazon.com/images/M/MV5BNDI4Y2UzZTAtYWVhOS00MDhkLWFhNzAtOGVhNjcwMTM0MjQ2XkEyXkFqcGdeQXVyNTU2NjEwMzY@._V1_UY317_CR130,0,214,317_AL_.jpg'], ['Alexandra Shipp', 'https://m.media-amazon.com/images/M/MV5BNjc4NTA0MTMxMF5BMl5BanBnXkFtZTgwNzA1MzQ1NjE@._V1_UY317_CR6,0,214,317_AL_.jpg']]","['Drama', 'Romance']",1h 47min,"The story of Violet and Theodore, who meet and change each other's lives forever. As they struggle with the emotional and physical scars of their past, they discover that even the smallest places and moments can mean something."
The Gentlemen (2019) ,"https://m.media-amazon.com/images/M/MV5BMTlkMmVmYjktYTc2NC00ZGZjLWEyOWUtMjc2MDMwMjQwOTA5XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_UX182_CR0,0,182,268_AL_.jpg",['Guy Ritchie'],['Guy Ritchie'],"[['Matthew McConaughey', 'https://m.media-amazon.com/images/M/MV5BMTg0MDc3ODUwOV5BMl5BanBnXkFtZTcwMTk2NjY4Nw@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Charlie Hunnam', 'https://m.media-amazon.com/images/M/MV5BMjE5NjE5Mzk2MV5BMl5BanBnXkFtZTcwODI5MDE1Ng@@._V1_UY317_CR5,0,214,317_AL_.jpg'], ['Michelle Dockery', 'https://m.media-amazon.com/images/M/MV5BMTQzODcyOTUzN15BMl5BanBnXkFtZTcwODM1NDU5OA@@._V1_UY317_CR2,0,214,317_AL_.jpg']]","['Action', 'Comedy', 'Crime']",1h 53min,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
No Time to Die (2020) ,"https://m.media-amazon.com/images/M/MV5BNGEwMDU2ZDQtZmE5Zi00YjFiLWIwYWItOGMyMzY5MzljOWU3XkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_UY268_CR1,0,182,268_AL_.jpg",['Cary Joji Fukunaga'],"['Neal Purvis', 'Robert Wade']","[['Ana de Armas', 'https://m.media-amazon.com/images/M/MV5BMjA3NjYzMzE1MV5BMl5BanBnXkFtZTgwNTA4NDY4OTE@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Daniel Craig', 'https://m.media-amazon.com/images/M/MV5BMjEzMjk4NDU4MF5BMl5BanBnXkFtZTcwMDMyNjQzMg@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Léa Seydoux', 'https://m.media-amazon.com/images/M/MV5BMjM3MTczNzY1MF5BMl5BanBnXkFtZTgwNjgwODgzNDE@._V1_UY317_CR6,0,214,317_AL_.jpg']]","['Action', 'Adventure', 'Thriller']",2h 43min,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology."
Jumanji: The Next Level (2019) ,"https://m.media-amazon.com/images/M/MV5BOTVjMmFiMDUtOWQ4My00YzhmLWE3MzEtODM1NDFjMWEwZTRkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Jake Kasdan'],"['Jake Kasdan', 'Jeff Pinkner']","[['Dwayne Johnson', 'https://m.media-amazon.com/images/M/MV5BMTkyNDQ3NzAxM15BMl5BanBnXkFtZTgwODIwMTQ0NTE@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Jack Black', 'https://m.media-amazon.com/images/M/MV5BYTFiMWNlNmItMDRiYy00NzA4LWE5YjItZmViNWQ2NzhhOWZlXkEyXkFqcGdeQXVyMTA2Mjc5ODMy._V1_UY317_CR16,0,214,317_AL_.jpg'], ['Kevin Hart', 'https://m.media-amazon.com/images/M/MV5BMTY4OTAxMjkxN15BMl5BanBnXkFtZTgwODg5MzYyMTE@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Action', 'Adventure', 'Comedy']",2h 3min,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game."
Artemis Fowl (2020) ,"https://m.media-amazon.com/images/M/MV5BYzhlNTk0OGYtZDQxNi00YjY3LWEyMWItZmYxNzU2ZDIyYmU3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Kenneth Branagh'],"['Eoin Colfer', 'Michael Goldenberg']","[['Miranda Raison', 'https://m.media-amazon.com/images/M/MV5BMmIyY2M5NWYtNTc2ZC00ZjA2LTliZTgtNTMzYTYwZjhjNzFkXkEyXkFqcGdeQXVyMjgwMDIwMA@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Colin Farrell', 'https://m.media-amazon.com/images/M/MV5BMTg4NzM5NDk0MV5BMl5BanBnXkFtZTcwNzAzMTUxNw@@._V1_UY317_CR3,0,214,317_AL_.jpg'], ['Josh Gad', 'https://m.media-amazon.com/images/M/MV5BMzU0MDIxYzktNmZiZC00ODcwLWIyYWMtNzI3MjhlMTA2MzhiXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR29,0,214,317_AL_.jpg']]","['Adventure', 'Family', 'Fantasy']",---,"Artemis Fowl, a young criminal prodigy, hunts down a secret society of fairies to find his missing father."
1917 (2019) ,"https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_UX182_CR0,0,182,268_AL_.jpg",['Sam Mendes'],"['Sam Mendes', 'Krysty Wilson-Cairns']","[['Dean-Charles Chapman', 'https://m.media-amazon.com/images/M/MV5BNzM2Mjc2NzAzMV5BMl5BanBnXkFtZTgwMjE0MzAwNTE@._V1_UY317_CR12,0,214,317_AL_.jpg'], ['George MacKay', 'https://m.media-amazon.com/images/M/MV5BMTQ4NjQ0NTEwOV5BMl5BanBnXkFtZTgwODQyMzIyMTI@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Daniel Mays', 'https://m.media-amazon.com/images/M/MV5BMDBkMDgwYzgtMTNjNC00MzY3LWJjOGItZjVhNGE5OTAyNjNiXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR12,0,214,317_AL_.jpg']]","['Drama', 'War']",1h 59min,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
Uncut Gems (2019) ,"https://m.media-amazon.com/images/M/MV5BZDhkMjUyYjItYWVkYi00YTM5LWE4MGEtY2FlMjA3OThlYmZhXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX182_CR0,0,182,268_AL_.jpg","['Benny Safdie', 'Josh Safdie']","['Ronald Bronstein', 'Josh Safdie']","[['Adam Sandler', 'https://m.media-amazon.com/images/M/MV5BMjQyNzM2MjM1Ml5BMl5BanBnXkFtZTcwMDE5NjI3Mg@@._V1_UY317_CR7,0,214,317_AL_.jpg'], ['Julia Fox', 'https://m.media-amazon.com/images/M/MV5BYzU2YzA4Y2MtMTY5OS00NWEzLWFiZGQtZDJlNzkwODY1OGQ4XkEyXkFqcGdeQXVyNjg1OTI1MjA@._V1_UY317_CR20,0,214,317_AL_.jpg'], ['Idina Menzel', 'https://m.media-amazon.com/images/M/MV5BMTM3MTUyMzM4OF5BMl5BanBnXkFtZTYwNzMwOTI4._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Crime', 'Drama', 'Thriller']",2h 15min,"With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive."
The Way Back (2020) ,"https://m.media-amazon.com/images/M/MV5BYjJmOWE3ZTAtOTEzMC00OTEzLWJlMWUtYjA3ZDQwYTE5YmUyXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX182_CR0,0,182,268_AL_.jpg","[""Gavin O'Connor""]","['Brad Ingelsby', ""Gavin O'Connor""]","[['Ben Affleck', 'https://m.media-amazon.com/images/M/MV5BMTI4MzIxMTk0Nl5BMl5BanBnXkFtZTcwOTU5NjA0Mg@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Al Madrigal', 'https://m.media-amazon.com/images/M/MV5BMjllOTk2ZDMtMWQ1Zi00YjM3LWFiOWQtNjk1ZmYwYmU2YzZhXkEyXkFqcGdeQXVyODkxODYyMzI@._V1_UY317_CR2,0,214,317_AL_.jpg'], ['Janina Gavankar', 'https://m.media-amazon.com/images/M/MV5BN2Q0NzhjZDktNTg5Yi00YTIwLWJhN2UtZDg3ZDk0NDQ4ZjcyXkEyXkFqcGdeQXVyMDUxNjM5Mw@@._V1_UY317_CR17,0,214,317_AL_.jpg']]","['Drama', 'Sport']",1h 48min,"Jack Cunningham was an HS basketball phenom who walked away from the game, forfeiting his future. Years later, when he reluctantly accepts a coaching job at his alma mater, he may get one last shot at redemption."
